"location","country_code_n_missing","Date_n_missing","infections_mean_n_missing","infections_lower_n_missing","infections_upper_n_missing","cases_mean_7d_n_missing","case_ascert_n_missing","country_code_n_zeros","Date_n_zeros","infections_mean_n_zeros","infections_lower_n_zeros","infections_upper_n_zeros","cases_mean_7d_n_zeros","case_ascert_n_zeros"
"Czechia",0,0,148,148,148,0,148,0,0,NA,NA,NA,54,NA
"Democratic Republic of Congo",0,0,148,148,148,0,157,0,0,NA,NA,NA,73,NA
"Denmark",0,0,148,148,148,0,148,0,0,NA,NA,NA,50,NA
"Djibouti",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,385,NA
"Dominica",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,535,NA
"Dominican Republic",0,0,157,157,157,0,157,0,0,NA,NA,NA,69,NA
"Ecuador",0,0,152,152,152,7,159,0,0,NA,NA,NA,NA,NA
"Egypt",0,0,155,155,155,0,155,0,0,NA,NA,NA,76,NA
"El Salvador",0,0,253,253,253,0,270,0,0,NA,NA,NA,443,NA
"Equatorial Guinea",0,0,148,148,148,0,161,0,0,NA,NA,NA,230,NA
"Eritrea",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,286,NA
"Estonia",0,0,161,161,161,0,161,0,0,NA,NA,NA,50,NA
"Eswatini",0,0,153,153,153,0,181,0,0,NA,NA,NA,113,NA
"Ethiopia",0,0,148,148,148,0,159,0,0,NA,NA,NA,66,NA
"Europe",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"European Union",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"Faeroe Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,579,NA
"Falkland Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,793,NA
"Fiji",0,0,151,151,151,0,168,0,0,NA,NA,NA,300,NA
"Finland",0,0,152,152,152,0,152,0,0,NA,NA,NA,32,NA
"France",0,0,149,149,149,0,149,0,0,NA,NA,NA,21,NA
"French Guiana",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,144,NA
"French Polynesia",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,220,NA
"Gabon",0,0,148,148,148,0,160,0,0,NA,NA,NA,203,NA
"Gambia",0,0,168,168,168,0,183,0,0,NA,NA,NA,262,NA
"Georgia",0,0,152,152,152,0,152,0,0,NA,NA,NA,59,NA
"Germany",0,0,144,144,144,0,144,0,0,NA,NA,NA,13,NA
"Ghana",0,0,148,148,148,0,160,0,0,NA,NA,NA,97,NA
"Gibraltar",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,198,NA
"Greece",0,0,154,154,154,0,154,0,0,NA,NA,NA,53,NA
"Greenland",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,773,NA
"Grenada",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,462,NA
"Guadeloupe",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,126,NA
"Guam",0,0,148,148,148,0,161,0,0,NA,NA,NA,97,NA
"Guatemala",0,0,148,148,148,0,161,0,0,NA,NA,NA,71,NA
"Guernsey",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,306,NA
"Guinea",0,0,175,175,175,0,186,0,0,NA,NA,NA,166,NA
"Guinea-Bissau",0,0,175,175,175,0,198,0,0,NA,NA,NA,247,NA
"Guyana",0,0,148,148,148,0,158,0,0,NA,NA,NA,74,NA
"Haiti",0,0,151,151,151,0,169,0,0,NA,NA,NA,159,NA
"High income",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"Honduras",0,0,148,148,148,0,157,0,0,NA,NA,NA,73,NA
"Hong Kong",0,0,0,0,0,1043,1043,0,0,0,0,0,NA,NA
"Hungary",0,0,153,153,153,0,155,0,0,NA,NA,NA,62,NA
"Iceland",0,0,162,162,162,0,162,0,0,NA,NA,NA,85,NA
"India",0,0,148,148,148,0,148,0,0,NA,NA,NA,43,NA
"Indonesia",0,0,148,148,148,0,148,0,0,NA,NA,NA,54,NA
"Iran",0,0,146,146,146,0,146,0,0,NA,NA,NA,42,NA
"Iraq",0,0,155,155,155,0,155,0,0,NA,NA,NA,147,NA
"Ireland",0,0,148,148,148,0,148,0,0,NA,NA,NA,53,NA
"Isle of Man",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,467,NA
"Israel",0,0,148,148,148,0,148,0,0,NA,NA,NA,44,NA
"Italy",0,0,144,144,144,0,144,0,0,NA,NA,NA,36,NA
"Jamaica",0,0,160,160,160,0,169,0,0,NA,NA,NA,104,NA
"Japan",0,0,148,148,148,0,148,0,0,NA,NA,NA,10,NA
"Jersey",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,145,NA
"Jordan",0,0,226,226,226,0,227,0,0,NA,NA,NA,254,NA
"Kazakhstan",0,0,152,152,152,0,163,0,0,NA,NA,NA,65,NA
"Kenya",0,0,148,148,148,0,159,0,0,NA,NA,NA,67,NA
"Kiribati",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,992,NA
"Kosovo",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,65,NA
"Kuwait",0,0,156,156,156,0,156,0,0,NA,NA,NA,98,NA
"Kyrgyzstan",0,0,148,148,148,0,164,0,0,NA,NA,NA,106,NA
"Laos",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,358,NA
"Latvia",0,0,148,148,148,0,148,0,0,NA,NA,NA,54,NA
"Lebanon",0,0,144,144,144,0,144,0,0,NA,NA,NA,45,NA
"Lesotho",0,0,235,235,235,0,307,0,0,NA,NA,NA,371,NA
"Liberia",0,0,148,148,148,0,162,0,0,NA,NA,NA,158,NA
"Libya",0,0,155,155,155,0,177,0,0,NA,NA,NA,102,NA
"Liechtenstein",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,144,NA
"Lithuania",0,0,148,148,148,0,148,0,0,NA,NA,NA,56,NA
